Designator,Mid X,Mid Y,Rotation,Layer
J1,100.3,-89.6,-90.0,top
C51,133.25,-106.95,90.0,top
C25,112.8,-114.6,-90.0,top
R1,111.3,-93.78125,90.0,top
FB1,123.075,-102.725,0.0,top
C7,104.4,-126.2,-90.0,top
R33,141.45,-112.1,0.0,top
C27,112.1,-105.4125,180.0,top
C28,112.1,-98.6125,0.0,top
Y1,112.1,-102.0125,90.0,top
C49,128.8,-91.625,0.0,top
U10,140.1,-107.4,0.0,top
D10,119.0,-129.15,0.0,top
R2,115.3,-93.78125,90.0,top
C52,144.6,-107.6,90.0,top
C53,146.3,-107.6,90.0,top
D1,111.3,-90.45625,-90.0,top
C47,126.35,-84.3,90.0,top
U2,110.35,-125.25,180.0,top
D4,115.3,-90.45625,-90.0,top
D5,119.3,-90.45625,-90.0,top
C22,114.5,-111.3,90.0,top
R10,119.25,-126.38125,-90.0,top
R12,122.25,-126.3875,-90.0,top
L2,115.35,-105.4,0.0,top
C24,127.225,-105.175,90.0,top
C17,123.925,-105.175,90.0,top
C20,113.75,-117.0,180.0,top
C15,112.8,-111.3,90.0,top
J3,167.55,-95.15,90.0,top
C19,116.2,-108.0,-90.0,top
R3,119.3,-93.78125,90.0,top
R9,109.8,-114.6,-90.0,top
C13,122.275,-105.175,90.0,top
C12,133.5,-113.5,90.0,top
J4,94.375,-119.20575,-90.0,top
R15,135.2,-116.7,90.0,top
SW1,132.85,-125.95,0.0,top
R29,126.35,-89.15,90.0,top
D9,104.575,-111.95,180.0,top
C9,112.8,-108.0,90.0,top
C46,124.7,-84.3,90.0,top
D2,143.0,-123.5,180.0,top
C3,116.15,-123.75,-90.0,top
C14,125.575,-105.175,90.0,top
C23,113.75,-120.3,180.0,top
D23,100.4,-119.8,90.0,top
R14,144.5,-120.85,0.0,top
C50,134.9,-106.95,90.0,top
U4,124.5,-115.0,0.0,top
C26,116.15,-119.55,-90.0,top
J5,93.175,-104.325,0.0,top
C21,114.5,-114.6,-90.0,top
R31,140.1,-101.85,0.0,top
R32,141.45,-110.35,180.0,top
C11,135.2,-113.5,90.0,top
R13,114.5,-108.0,-90.0,top
R30,125.6,-86.75,180.0,top
R28,140.1,-85.85,0.0,top
R8,109.05,-111.3,180.0,top
C16,126.0,-123.9,0.0,top
R16,139.8,-125.7,0.0,top
R4,100.725,-114.625,0.0,top
R7,111.1,-108.0,-90.0,top
C48,128.8,-89.975,0.0,top
D22,122.5,-129.15,180.0,top
C29,113.75,-118.65,180.0,top
C18,126.0,-125.6,0.0,top
C1,100.725,-116.275,0.0,top
U9,129.55,-85.85,-90.0,top
C5,114.55,-116.7,90.0,bottom
Q2,139.9775,-85.85,-90.0,bottom
C44,158.55,-84.8,180.0,bottom
Q1,127.9775,-85.85,-90.0,bottom
R22,118.9,-118.55,90.0,bottom
C43,153.75,-87.4625,-90.0,bottom
D3,105.9,-88.05,90.0,bottom
R25,131.7,-121.4,-90.0,bottom
C38,156.55,-100.75,180.0,bottom
U3,155.35,-107.4,180.0,bottom
R6,125.55,-125.8,-90.0,bottom
C45,158.55,-83.1,180.0,bottom
C8,122.5,-110.75,0.0,bottom
Q3,127.9775,-101.85,-90.0,bottom
Q5,127.9775,-93.85,-90.0,bottom
R36,152.4,-81.85,0.0,bottom
R11,126.7375,-118.2,0.0,bottom
F1,105.8,-95.95,0.0,bottom
R23,145.55,-116.0,-90.0,bottom
Q6,139.9775,-93.85,-90.0,bottom
D24,104.4,-101.75,90.0,bottom
C36,149.55,-105.1,-90.0,bottom
C42,151.85,-87.4625,-90.0,bottom
L1,122.55,-118.35,0.0,bottom
L3,104.4,-113.82717,-90.0,bottom
D15,135.0,-120.85,90.0,bottom
C4,122.2,-121.2,180.0,bottom
D21,153.35,-91.5,90.0,bottom
R27,151.35,-100.25,90.0,bottom
C6,127.55,-122.25,-90.0,bottom
D8,163.55,-95.15,-90.0,bottom
R24,136.9,-108.35,-90.0,bottom
D20,155.65,-83.25,-90.0,bottom
D13,143.5,-115.2,90.0,bottom
D7,170.05,-108.6,-90.0,bottom
C37,151.35,-105.1,-90.0,bottom
R26,160.1,-107.2,0.0,bottom
C2,119.05,-124.8,-90.0,bottom
R34,148.75,-109.7,-90.0,bottom
R35,164.1,-86.95,90.0,bottom
D19,162.05,-86.35,-90.0,bottom
R5,125.55,-122.65,-90.0,bottom
C39,156.55,-102.4,180.0,bottom
C34,139.925,-113.85,180.0,bottom
U7,122.2,-124.0,180.0,bottom
C10,133.6,-116.85,-90.0,bottom
C41,115.3,-86.8175,90.0,bottom
C40,115.3,-100.6175,-90.0,bottom
D18,150.95,-109.1,90.0,bottom
U6,157.85,-89.8,180.0,bottom
D6,166.15,-108.6,-90.0,bottom
U1,139.3,-118.9,180.0,bottom
D16,159.75,-104.0,-90.0,bottom
D14,136.925,-112.3,-90.0,bottom
D17,153.7,-100.8,-90.0,bottom
C35,139.925,-112.15,180.0,bottom
Q4,139.9775,-101.85,-90.0,bottom
C33,135.4,-116.85,-90.0,bottom
R37,150.4,-92.9,0.0,bottom
